"Table 2. Provisional reported cases & cases per sentinel of sentinel reporting diseases by prefecture,  Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"43th week, 2013",,,,,,"Data collected as of October 30, 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefecture,Influenza(excld. avian influenza and pandemic influenza),,Respiratory syncytial virus infection,,Pharyngoconjunctival fever,,Group A streptococcal pharyngitis,,Infectious gastroenteritis,,Chickenpox,,"Hand, foot and mouth disease",,Erythema infection,,Exanthem subitum,,Pertussis,,Herpangina,,Mumps,,Acute hemorrhagic conjunctivitis,,Epidemic keratoconjunctivitis,,Bacterial meningitis,,Aseptic meningitis,,Mycoplasma pneumonia,,Chlamydial pneumonia(excluding psittacosis),,Infectious gastroenteritis (only by Rotavirus),
,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel,Current week,per sentinel
Total No.,273,0.06,3702,,886,0.28,3467,1.1,11600,3.68,1700,0.54,3354,1.06,134,0.04,1714,0.54,29,0.01,458,0.15,705,0.22,7,0.01,364,0.53,4,0.01,26,0.06,201,0.43,19,0.04,1,0
Hokkaido,26,0.11,149,,50,0.35,332,2.32,416,2.91,153,1.07,358,2.5,6,0.04,45,0.31,1,0.01,53,0.37,16,0.11,-,-,17,0.59,-,-,-,-,14,0.61,-,-,-,-
Aomori,-,-,40,,6,0.15,31,0.76,41,1,37,0.9,23,0.56,-,-,18,0.44,-,-,11,0.27,7,0.17,1,0.09,4,0.36,-,-,-,-,11,1.83,-,-,-,-
Iwate,5,0.08,80,,-,-,42,1.05,78,1.95,42,1.05,26,0.65,1,0.03,18,0.45,-,-,4,0.1,16,0.4,-,-,6,0.43,1,0.05,1,0.05,31,1.63,1,0.05,-,-
Miyagi,1,0.01,46,,5,0.09,74,1.28,93,1.6,33,0.57,107,1.84,20,0.34,35,0.6,-,-,13,0.22,24,0.41,-,-,1,0.08,-,-,-,-,19,1.58,-,-,-,-
Akita,1,0.02,28,,-,-,22,0.63,69,1.97,24,0.69,30,0.86,-,-,10,0.29,-,-,15,0.43,7,0.2,-,-,5,0.71,-,-,-,-,4,0.5,-,-,-,-
Yamagata,-,-,66,,4,0.13,57,1.9,82,2.73,19,0.63,61,2.03,1,0.03,18,0.6,-,-,11,0.37,8,0.27,-,-,1,0.13,-,-,-,-,5,0.5,-,-,-,-
Fukushima,1,0.01,56,,1,0.02,46,1.02,95,2.11,34,0.76,65,1.44,4,0.09,24,0.53,-,-,18,0.4,33,0.73,-,-,4,0.33,-,-,1,0.14,5,0.71,-,-,-,-
Ibaraki,2,0.02,40,,4,0.05,65,0.87,405,5.4,34,0.45,38,0.51,1,0.01,21,0.28,-,-,-,-,3,0.04,-,-,17,1,-,-,1,0.08,3,0.23,-,-,-,-
Tochigi,3,0.04,86,,2,0.04,22,0.46,77,1.6,11,0.23,22,0.46,-,-,27,0.56,-,-,1,0.02,7,0.15,-,-,2,0.17,-,-,-,-,8,1.14,5,0.71,-,-
Gunma,-,-,86,,6,0.1,78,1.3,177,2.95,34,0.57,27,0.45,-,-,29,0.48,-,-,4,0.07,7,0.12,-,-,14,1.08,1,0.13,-,-,6,0.75,-,-,-,-
Saitama,6,0.02,217,,45,0.28,200,1.27,582,3.68,72,0.46,174,1.1,12,0.08,112,0.71,-,-,19,0.12,56,0.35,4,0.1,11,0.26,-,-,2,0.2,3,0.3,1,0.1,-,-
Chiba,8,0.04,96,,34,0.25,184,1.36,416,3.08,56,0.41,163,1.21,7,0.05,69,0.51,4,0.03,8,0.06,35,0.26,-,-,16,0.47,-,-,2,0.22,1,0.11,-,-,-,-
Tokyo,39,0.09,274,,70,0.27,292,1.12,930,3.58,133,0.51,196,0.75,22,0.08,165,0.63,4,0.02,36,0.14,30,0.12,-,-,15,0.39,-,-,4,0.16,10,0.4,-,-,-,-
Kanagawa,8,0.03,150,,40,0.19,141,0.68,638,3.1,89,0.43,127,0.62,11,0.05,121,0.59,6,0.03,17,0.08,53,0.26,-,-,40,0.93,-,-,1,0.09,3,0.27,1,0.09,-,-
Niigata,-,-,103,,23,0.38,113,1.85,133,2.18,71,1.16,89,1.46,12,0.2,35,0.57,-,-,19,0.31,6,0.1,-,-,3,0.3,-,-,-,-,4,0.31,4,0.31,-,-
